accuracy,macro_precision,macro_recall,macro_f1,noise_type,sigma
0.969867416633186,0.9699144038624589,0.9699123488074392,0.9698927894974084,gaussian,0.0
0.22900763358778625,0.2664193918275107,0.2291927904288953,0.20137955439760044,gaussian,0.02
0.2245881880273202,0.20612911527133215,0.22406940838915973,0.17284502710498828,gaussian,0.05
0.25632784250703095,0.21366730662836103,0.25552104855691815,0.1973995338375168,gaussian,0.1
0.2531137002812374,0.2236992029636282,0.25207661100635215,0.1385748765517362,gaussian,0.15
