accuracy,macro_precision,macro_recall,macro_f1,noise_type,amount
0.969867416633186,0.9699144038624589,0.9699123488074392,0.9698927894974084,s&p,0.0
0.24065889915628766,0.25325076700341265,0.2404168756592459,0.22651004439230724,s&p,0.02
0.2394535958216151,0.2512700757185916,0.23923179346700452,0.22693664420890897,s&p,0.05
0.24065889915628766,0.24850195719633444,0.24045121084121926,0.22981148392744305,s&p,0.1
0.2458818802732021,0.2576535797189885,0.24579537139094454,0.2410479401885712,s&p,0.2
